age,sex,healthy_sbp,healthy_total_cholesterol,healthy_hdl_c,healthy_non_hdl_c,prevalence_anti_htn_meds,prevalence_statin,prevalence_family_history_mi
77,male,131.02735776451388,184.211071516719,45,139.211071516719,0.11709278634496756,0.10051135670477747,0.2039647734871422
78,male,131.28909042627438,183.8757234542486,45,138.8757234542486,0.11709278634496756,0.10051135670477747,0.2039647734871422
79,male,131.55082308803492,183.54037539177818,45,138.54037539177818,0.11709278634496756,0.10051135670477747,0.2039647734871422
30,female,106.16580095699975,176.84743244670352,55,121.84743244670352,0.11709278634496756,0.10051135670477747,0.2039647734871422
31,female,106.72192569277388,178.241943266947,55,123.241943266947,0.11709278634496756,0.10051135670477747,0.2039647734871422
32,female,107.27805042854803,179.6364540871905,55,124.63645408719049,0.11709278634496756,0.10051135670477747,0.2039647734871422
33,female,107.83417516432216,181.03096490743397,55,126.03096490743397,0.11709278634496756,0.10051135670477747,0.2039647734871422
34,female,108.3902999000963,182.42547572767745,55,127.42547572767745,0.11709278634496756,0.10051135670477747,0.2039647734871422
35,female,108.94642463587044,183.81998654792096,55,128.81998654792096,0.11709278634496756,0.10051135670477747,0.2039647734871422
36,female,109.50254937164458,185.21449736816444,55,130.21449736816444,0.11709278634496756,0.10051135670477747,0.2039647734871422
37,female,110.05867410741871,186.60900818840793,55,131.60900818840793,0.11709278634496756,0.10051135670477747,0.2039647734871422
38,female,110.61479884319284,188.00351900865144,55,133.00351900865144,0.11709278634496756,0.10051135670477747,0.2039647734871422
39,female,111.17092357896698,189.39802982889492,55,134.39802982889492,0.11709278634496756,0.10051135670477747,0.2039647734871422
40,female,111.72704831474113,190.7925406491384,55,135.7925406491384,0.11709278634496756,0.10051135670477747,0.2039647734871422
41,female,112.28317305051526,192.1870514693819,55,137.1870514693819,0.11709278634496756,0.10051135670477747,0.2039647734871422
42,female,112.83929778628939,193.5815622896254,55,138.5815622896254,0.11709278634496756,0.10051135670477747,0.2039647734871422
43,female,113.39542252206354,194.97607310986888,55,139.97607310986888,0.11709278634496756,0.10051135670477747,0.2039647734871422
44,female,113.95154725783767,196.3705839301124,55,141.3705839301124,0.11709278634496756,0.10051135670477747,0.2039647734871422
45,female,114.50767199361181,197.76509475035587,55,142.76509475035587,0.11709278634496756,0.10051135670477747,0.2039647734871422
46,female,115.06379672938594,199.15960557059935,55,144.15960557059935,0.11709278634496756,0.10051135670477747,0.2039647734871422
47,female,115.61992146516008,200.55411639084286,55,145.55411639084286,0.11709278634496756,0.10051135670477747,0.2039647734871422
48,female,116.17604620093422,201.94862721108635,55,146.94862721108635,0.11709278634496756,0.10051135670477747,0.2039647734871422
49,female,116.73217093670836,203.34313803132983,55,148.34313803132983,0.11709278634496756,0.10051135670477747,0.2039647734871422
50,female,117.28829567248249,204.73764885157334,55,149.73764885157334,0.11709278634496756,0.10051135670477747,0.2039647734871422
51,female,117.84442040825662,206.13215967181682,55,151.13215967181682,0.11709278634496756,0.10051135670477747,0.2039647734871422
52,female,118.40054514403076,207.5266704920603,55,152.5266704920603,0.11709278634496756,0.10051135670477747,0.2039647734871422
53,female,118.9566698798049,208.92118131230382,55,153.92118131230382,0.11709278634496756,0.10051135670477747,0.2039647734871422
54,female,119.51279461557904,210.3156921325473,55,155.3156921325473,0.11709278634496756,0.10051135670477747,0.2039647734871422
55,female,120.06891935135317,211.71020295279078,55,156.71020295279078,0.11709278634496756,0.10051135670477747,0.2039647734871422
56,female,120.62504408712732,211.28732071042805,55,156.28732071042805,0.11709278634496756,0.10051135670477747,0.2039647734871422
57,female,121.18116882290145,210.86443846806537,55,155.86443846806537,0.11709278634496756,0.10051135670477747,0.2039647734871422
58,female,121.73729355867559,210.44155622570264,55,155.44155622570264,0.11709278634496756,0.10051135670477747,0.2039647734871422
59,female,122.29341829444974,210.0186739833399,55,155.0186739833399,0.11709278634496756,0.10051135670477747,0.2039647734871422
